﻿Translation,original,final,"jan Ke Tami"
Title,"THE TALE OF MRS. TIGGY-WINKLE",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Mrs._Tiggy-Winkle,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Lucy (human)",,"jan lili Lusi"
Predefine,"Tabby Kitten (cat)",,"soweli Lenlinja"
Predefine,"Sally Henny-penny (hen)",,"waso Meliweli"
Predefine,"Cock Robin (bird)",,"waso Lojekin"
Predefine,"Little-town (farm)",,"tomo Lilima"
Predefine,"Mrs. Tiggy-winkle (hedgehog)",,"soweli Kiki"
Predefine,"Jenny Wren",,"waso Suwili"
Predefine,"Mrs. Rabbit (rabbit)",,"soweli mama pi kute suli"
Predefine,"Tom Titmouse (mouse)",,"waso Sowelili"
Predefine,"Skelghyl (place)",,"ma Nenakiwen"
Predefine,"Gatesgarth (place)",,"ma Lupama"
Predefine,"Squirrel Nutkin (squirrel)",,"soweli Kilikin"
Predefine,"Peter Rabbit (rabbit)",,"soweli Pita"
Predefine,"Cat Bells (hill)",,"nena Pokimu"
"Text start","THE TALE OF MRS. TIGGY-WINKLE",,"meli Kiki"
,"ONCE upon a time there was a little girl called Lucie, who lived at a farm called Little-town. She was a good little girl—only she was always losing her pocket-handkerchiefs!",,"tenpo pini wan la, jan lili li lon. nimi ona li jan Lusi. ona li lon tomo Lilima lon ma. ona li jan pona—a, taso ona li awen weka e len pona ona pi weka jaki!"
,"One day little Lucie came into the farm-yard crying—oh, she did cry so! ""I've lost my pocket-handkin! Three handkins and a pinny! Have you seen them, Tabby Kitten?""",,"tenpo suno wan la, jan lili Lusi li kama lon ma lon poka tomo, li mu ike pi pilin ike—a mu ike ona li mute. ""mi weka e len pona mi! ni li kama len weka tu wan a! soweli Lenlinja o, sina lukin ala lukin e len mi?"""
,"THE Kitten went on washing her white paws; so Lucie asked a speckled hen—",,"soweli li awen uta e noka walo ona; ni la, jan Lusi li toki tawa waso tomo—"
,"Sally Henny-penny, have you found three pocket-handkins?",,"waso Meliweli o, sina lukin ala lukin e len mi tu wan?"
,"But the speckled hen ran into a barn, clucking—",,"taso waso li tawa tomo lili, li mu—"
,"I go barefoot, barefoot, barefoot!",,"mi tawa kepeken len noka ala, kepeken len noka ala, kepeken len noka ala!"
,"AND then Lucie asked Cock Robin sitting on a twig.",,"ni la, jan Lusi li toki tawa waso Lojekin. ona li lon kasi."
,"Cock Robin looked sideways at Lucie with his bright black eye, and he flew over a stile and away.",,"waso Lojekin li poka e lawa ona, li lukin e jan Lusi kepeken lukin pimeja suno ona. ona li tawa kon lon sewi pi palisa sinpin, li tawa weka."
,"Lucie climbed upon the stile and looked up at the hill behind Little-town—a hill that goes up—up—into the clouds as though it had no top!",,"jan Lusi li tawa lon palisa sinpin, li lukin e nena lon monsi pi tomo Lilima—nena li sewi, li sewi, li sewi tawa walo ko kon sewi!"
,"And a great way up the hillside she thought she saw some white things spread upon the grass.",,"ona li tawa lon nena, li kama sewi la, ona li pilin e ni; ona li kama lukin e ijo walo lon ma pi laso kasi."
,"LUCIE scrambled up the hill as fast as her short legs would carry her; she ran along a steep path-way—up and up—until Little-town was right away down below—she could have dropped a pebble down the chimney!",,"jan Lusi li tawa wawa lon nena, li tawa tan wawa ale pi noka ona; ona li tawa lon nasin pi sewi wawa, li tawa sewi, li tawa sewi la, tomo Lilima li kama lon anpa ona. ona li wile la, ona li ken pana e kiwen tawa lupa pi sewi tomo!"
,"PRESENTLY she came to a spring, bubbling out from the hillside.",,"tenpo ni la, ona li kama lon open telo."
,"Some one had stood a tin can upon a stone to catch the water—but the water was already running over, for the can was no bigger than an egg-cup! And where the sand upon the path was wet—there were footmarks of a very small person.",,"jan li pana e poki lon kiwen la, poki li ken poki e telo—taso telo mute mute li kama la, telo li ken ala awen lon insa tan ni: poki li lili mute a! poka ona la, ma li kama telo—lupa lili li lon ma tan noka jan pi lili mute."
,"Lucie ran on, and on.",,"jan Lusi li tawa, li tawa, li awen tawa."
,"THE path ended under a big rock. The grass was short and green, and there were clothes-props cut from bracken stems, with lines of plaited rushes, and a heap of tiny clothes-pins—but no pocket-handkerchiefs!",,"nasin li kama pini lon anpa pi kiwen suli. ma ni la, kasi lili li lili pona, li laso. linja kasi awen li lon, li ilo, li ken e awen len. palisa awen lili ilo kin li lon, li ken e awen len. taso len ala li lon tenpo ni!"
,"But there was something else—a door! straight into the hill; and inside it some one was singing—",,"a taso ijo ante li lon—lupa li lon! insa ona li tawa insa nena; insa ona la, kalama li kama, li musi—"
,"Lily-white and clean, oh! With little frills between, oh! ⁠Smooth and hot—red rusty spot Never here be seen, oh!",,"walo pona li jaki ala a! namako lili pona li lon ona a! li kama supa, li kama seli—jaki loje lili ni li lon ala a!"
,"LUCIE knocked—once—twice, and interrupted the song. A little frightened voice called out ""Who's that?""",,"jan Lusi li luka kalama e lupa lon tenpo wan—lon tenpo tu—li pini e musi kalama. kalama lili li kama, li lili tan pilin anpa, li wile sona: ""seme li lon?"""
,"Lucie opened the door: and what do you think there was inside the hill?—a nice clean kitchen with a flagged floor and wooden beams—just like any other farm kitchen. Only the ceiling was so low that Lucie's head nearly touched it; and the pots and pans were small, and so was everything there.",,"jan Lusi li open e lupa. pilin sina la, seme li lon insa nena?—tomo moku pona li lon. anpa li supa pona. sewi li awen pona tan palisa awen. ni li sama tomo moku ante ale. a, taso sewi li sewi mute ala la, lawa pi jan Lusi li ken kama selo lili e ona; kin la, poki moku ale li lili. ijo ante kin li lili."
,"THERE was a nice hot singey smell; and at the table, with an iron in her hand, stood a very stout short person staring anxiously at Lucie.",,"jan Lusi li ken pilin e kon pi moku seli kepeken nena ona; supa moku la, meli lili sike li lon, li jo e ilo seli pi pona len, li lukin e jan Lusi. meli li pilin ike lili tan sona ala, li sona ala e kama."
,"Her print gown was tucked up, and she was wearing a large apron over her striped petticoat. Her little black nose went sniffle, sniffle, snuffle, and her eyes went twinkle, twinkle; and underneath her cap—where Lucie had yellow curls—that little person had Prickles!",,"len ona li awen sewi tan pali. len awen pali li awen e len kule pona ona. nena pimeja ona li pilin e kon, li pilin, li pilin. lukin ona li suno suwi sama mun lili; jan Lusi li jo e linja jelo lon lawa, taso anpa pi len lawa la meli li jo e linja jelo ala e palisa lili mute a!"
,"WHO are you? said Lucie. ""Have you seen my pocket-handkins?""",,"jan Lusi li wile sona: ""sina jan seme? sina lukin ala lukin e len mi pi weka jaki?"""
,"The little person made a bob-curtsey—""Oh yes, if you please'm; my name is Mrs. Tiggy-winkle; oh yes if you please'm, I'm an excellent clear-starcher!"" And she took something out of a clothes-basket, and spread it on the ironing-blanket.",,"meli li tawa anpa lili pona lon toki—""a, pona sina la, mi meli Kiki; a, pona sina la, mi weka pona e jaki tan len!"" "
,"WHAT'S that thing? said Lucie—""that's not my pocket-handkin?""",,"jan Lusi li toki: ""ni li seme? a, ni li len mi ala, anu seme."""
,"Oh no, if you please'm; that's a little scarlet waist-coat belonging to Cock Robin!",,"""a, ala. a, pona sina la, ni li len sijelo loje tan waso Lojekin!"""
,"And she ironed it and folded it, and put it on one side.",,"ona li supa pona e len ni kepeken ilo seli, li pana e ni lon poka."
,"THEN she took something else off a clothes-horse—""That isn't my pinny!"" said Lucie.",,"ante la, ona li kama e len ante tan palisa—jan Lusi li toki: ""ni kin li len mi ala!"""
,"Oh no, if you please'm; that's a damask table-cloth belonging to Jenny Wren; look how it's stained with currant wine! It's very bad to wash! said Mrs. Tiggy-winkle.",,"meli Kiki li toki: ""a, ala. a, pona sina la, ni li len pi supa moku tan waso Suwili. o lukin e jaki loje tan telo kili loje! mi wile weka e jaki ni la ken ni li pona ala!"""
,"MRS. TIGGY-WINKLE'S nose went sniffle sniffle snuffle, and her eyes went twinkle twinkle; and she fetched another hot iron from the fire.",,"nena pimeja ona li pilin e kon, li pilin, li pilin. lukin ona li suno suwi sama mun lili. ona li kama e ilo seli len ante tan seli suno."
,"THERE'S one of my pocket-handkins! cried Lucie—""and there's my pinny!""",,"jan Lusi li kalama: ""a! ni a li len wan mi!"""
,"Mrs. Tiggy-winkle ironed it, and goffered it, and shook out the frills.",,"meli Kiki li supa e len kepeken ilo seli, li pona e selo len, li kon pona tawa e namako len."
,"Oh that is lovely! said Lucie.",,"jan Lusi li toki: ""aa ni li pona suwi!"
,"AND what are those long yellow things with fingers like gloves?",,"ijo jelo suli ni li seme? pini ona li sama len luka."""
