﻿Translation,original,final,"jan Ke Tami"
Title,"THE STORY OF A FIERCE BAD RABBIT",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Story_of_A_Fierce_Bad_Rabbit,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"bad rabbit","soweli ike~~~~jan Ke Tami","soweli ike"
Predefine,"good rabbit","soweli pona~~~~jan Ke Tami","soweli pona"
"Text start","THE STORY OF A FIERCE BAD RABBIT","soweli ike pi kute suli~~~~jan Ke Tami","soweli ike pi kute suli"
,"THIS is a fierce bad Rabbit; look at his savage whiskers, and his claws and his turned-up tail.","ni li soweli ike pi kute suli. o lukin e linja pilin lon sinpin ona. o lukin e noka ike ona. o lukin e ko monsi ona pi awen sewi.~~~~jan Ke Tami","ni li soweli ike pi kute suli. o lukin e linja pilin lon sinpin ona. o lukin e noka ike ona. o lukin e ko monsi ona pi awen sewi."
,"THIS is a nice gentle Rabbit. His mother has given him a carrot.","ni li soweli pona pi kute suli. mama ona li pana e kili palisa loje tawa ona.~~~~jan Ke Tami","ni li soweli pona pi kute suli. mama ona li pana e kili palisa loje tawa ona."
,"THE bad Rabbit would like some carrot.","soweli ike li wile e kili.~~~~jan Ke Tami","soweli ike li wile e kili."
,"HE doesn't say ""Please.""","ona li toki ala e wile ona.~~~~jan Ke Tami","ona li toki ala e wile ona."
,"He takes it!","ona li kama jo e kili kepeken ike!~~~~jan Ke Tami","ona li kama jo e kili kepeken ike!"
,"AND he scratches the good Rabbit very badly.","kin la, ona li pakala e soweli ike a.~~~~jan Ke Tami","kin la, ona li pakala e soweli ike a."
,"THE good Rabbit creeps away, and hides in a hole. It feels sad.","soweli pona li tawa weka, li len e sijelo ona lon lupa ma. ona li pilin ike.~~~~jan Ke Tami","soweli pona li tawa weka, li len e sijelo ona lon lupa ma. ona li pilin ike."
,"THIS is a man with a gun.","ni li jan. ona li jo e ilo alasa moli.~~~~jan Ke Tami","ni li jan. ona li jo e ilo alasa moli."
,"HE sees something sitting on a bench. He thinks it is a very funny bird!","ona li lukin e ijo lon supa monsi. pilin ona la, ni li waso musi!~~~~jan Ke Tami","ona li lukin e ijo lon supa monsi. pilin ona la, ni li waso musi!"
,"HE comes creeping up behind the trees.","ona li kama tawa ona, li kama lon monsi kasi, li kepeken kalama lili.~~~~jan Ke Tami","ona li kama tawa ona, li kama lon monsi kasi, li kepeken kalama lili."
,"AND then he shoots—Bang!","ni la, ona li open e ilo—kalama a!~~~~jan Ke Tami","ni la, ona li open e ilo—kalama a!"
,"THIS is what happens—","ni li kama—~~~~jan Ke Tami","ni li kama—"
,"BUT this is all he finds on the bench, when he rushes up with his gun.","taso jan li tawa supa, li lukin la, ni li ale lon supa.~~~~jan Ke Tami","taso jan li tawa supa, li lukin la, ni li ale lon supa."
,"THE good Rabbit peeps out of its hole,","soweli pona li lukin tan lupa.~~~~jan Ke Tami","soweli pona li lukin tan lupa."
,"AND it sees the bad Rabbit tearing past—without any tail or whiskers!","ona li lukin e soweli ike. ko monsi en linja sinpin li weka tan soweli ike a!~~~~jan Ke Tami","ona li lukin e soweli ike. ko monsi en linja sinpin li weka tan soweli ike a!"
