Translation,original,final
Title,Pepper & Carrot Episode 17: A Fresh Start,
Author/copyright,David Revoy,
Link,https://www.peppercarrot.com/tp/article379/episode-18-the-encounter,
CW notes,,
Translation notes,"This will be a line-by-line translation of the comic. Some of the episodes already have translations, but there's usually always something to improve. For the rest, the goal is to have all episodes translated at some point.",
Text notes,"Pepper&Carrot is a webcomic by David Revoy, ww.davidrevoy.com - it is published under a Creative Commons Attribution 4.0 licence",
randomized,no,
Predefine,title,nimi
Predefine,credits,mama
Predefine,episode,wan
Predefine,narrator,sitelen toki
Predefine,Cumin (person),jan Kumin
Predefine,Pepper (person),jan Pepa
Predefine,Cayenne (person),jan Kajen
Predefine,Thyme (person),jan Tume
Predefine,writing,sitelen
Predefine,Carrot (cat),soweli Kawa
Predefine,Shichimi (person),jan Sisimi
Predefine,Hereva (world),ma Elewa
Predefine,sound,kalama
Text start,[Title] Episode 17: A Fresh Start,
,[Cumin] But Pepper... Come back...,
,[Pepper] NO! I'M LEAVING!!,
,[Pepper] You don't teach real witchcraft! I'm going - to the witches of Ah!,
,[Sound] Wooosh!,
,"[Pepper] Alright then, off to the land of the setting moons",
,[Pepper] Shichimi can tell us how to join the witches of Ah,
,"[Pepper] Carrot, get out the map and compass: it's too cloudy to see where I'm going",
,[Writing] N,
,[Pepper] DRATS!,
,[Pepper] Turbulence!,
,[Pepper] HOLD ON!,
,[Sound] BrrOoooOoo!!,
,[Pepper] Oh no !!!,
,[Sound] CrrAsh!!,
,"[Pepper] Above all, don't panic, Carrot...",
,"[Cayenne] ""A good dark stare is worth a dozen useless curses! ...",
,[Cayenne] ...Stare them down.,
,"[Cayenne] Dominate them! """,
,[Monster] Wah!!,
,[Monster] Aah!!,
,"[Pepper] Personally, I would've preferred to learn a few good attack spells; but anyway...",
,"[Pepper] shoot... no more broom or equipment,",
,[Pepper] this is going to be a long trip...,
,[Carrot] Groo,
,[Pepper] I'm totally worn out too Carrot...,
,[Pepper] And it's been days since we've eaten anything.,
,"[Cumin] ""To know the edible plants is to know where to find ready-made potions against hunger!""",
,[Pepper] But real potions?...,
,[Pepper] If only she had taught me a single one!,
,"[Thyme] ""A true witch of Chaosah needs neither compass nor map. A starry sky will suffice""",
,[Pepper] ... I would've preferred a real course in divination!,
,[Pepper] Cheer up Carrot !,
,"[Pepper] Look, we've arrived!",
,[Pepper] ...so there you are.,
,[Pepper] Now you know the whole story.,
,[Shichimi] ...and you tell me that you're here because they haven't taught you anythin g ?,
,[Narrator] - FIN -,
,[Credits] 06/2016 - www.peppercarrot.com - Art & Scenario : David Revoy - English Translation : Alex Gryson,
,"[Credits] Based on the Hereva universe created by David Revoy with contributions by Craig Maloney. Corrections by Willem Sonke, Moini, Hali, CGand and Alex Gryson.",
,"[Credits] License : Creative Commons Attribution 4.0, Software: Krita, G'MIC, Inkscape on Ubuntu",
,"[Credits] Pepper&Carrot is entirely free(libre), open-source and sponsored thanks to the patronage of its readers. For this episode, thanks go to 719 Patrons:",
,[Credits] You too can become a patron of Pepper&Carrot at www.patreon.com/davidrevoy,
