Translation,original,final,"jan Ke Tami"
Title,"THE TALE OF PETER RABBIT",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Peter_Rabbit_(1910),
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Flopsy (rabbit)",,"soweli Lawako"
Predefine,"Mopsy (rabbit)",,"soweli Sikeko"
Predefine,"Cotton-tail (rabbit)",,"soweli Monsiko"
Predefine,"Peter (rabbit)",,"soweli Pita"
Predefine,"Mrs. Rabbit (rabbit)",,"soweli mama"
Predefine,"Mr. McGregor (human)",,"jan mije Mekeke"
Predefine,"Mrs. McGregor (human)",,"jan meli Mekeke"
Predefine,"Benjamin Bunny (rabbit)",,"soweli Penjamin"
"Text start","[Title] The tale of Peter Rabbit",,"soweli Pita"
,"ONCE upon a time there were four little Rabbits, and their names were—",,"tenpo wan la, soweli lili tu tu pi kute suli li lon. ona li—"
,"Flopsy, ⁠Mopsy, ⁠Cotton-tail, and Peter.",,"soweli Lawako, li soweli Sikeko, li soweli Monsiko, li soweli Pita."
,"'NOW, my dears,' said old Mrs. Rabbit one morning, 'you may go into the ﬁelds or down the lane, but don't go into Mr. McGregor's garden: your Father had an accident there; he was put in a pie by Mrs. McGregor.'",,"tenpo suno open wan la, mama ona li toki e ni: ""suwi mi o, sina ken tawa ma pan. sina ken tawa nasin. taso o tawa ala ma kili pi jan Mekeke. mama mije sina li kama pakala lon ma ni. jan meli Mekeke li insa e ona lon pan."""
,"'NOW run along, and don't get into mischief. I am going out.'",,"""o tawa. o ike ala. mi tawa weka."""
,"THEN old Mrs. Rabbit took a basket and her umbrella, and went through the wood to the baker's. She bought a loaf of brown bread and five currant buns.",,"soweli mama li poka e poki, e ilo selo pi telo weka. ona li tawa ma kasi, li tawa tomo pan. ona li esun e pan suli, e pan suli tu tu wan pi kili lili."
,"FLOPSY, Mopsy, and Cotton-tail, who were good little bunnies, went down the lane to gather blackberries:",,"soweli Lawako en soweli Sikeko en soweli Monsiko li soweli lili pona. ona li tawa nasin, li poki e kili pimeja."
,"BUT Peter, who was very naughty, ran straight away to Mr. McGregor's garden, and squeezed under the gate!",,"taso soweli Pita li pona ala. kepeken tenpo ala la, ona li tawa ma kasi pi jan Mekeke. lupa pi ma kasi li pini la, ona li tawa anpa lupa, li tawa insa ma!"
,"FIRST he ate some lettuces and some French beans; and then he ate some radishes;",,"open la, ona li moku e kili lipu laso, e kili pi palisa laso lili. ante la, ona li moku e kili loje pi anpa ma."
,"AND then, feeling rather sick, he went to look for some parsley.",,"ni la, ona li pilin jaki. ona li wile alasa e kasi namako."
,"BUT round the end of a cucumber frame, whom should he meet but Mr. McGregor!",,"taso ona li kama lon sinpin pi kili palisa laso la, seme li lon? jan mije Mekeke a!"
,"MR. McGREGOR was on his hands and knees planting out young cabbages, but he jumped up and ran after Peter, waving a rake and calling out, 'Stop thief!'",,"jan Mekeke li anpa lon luka ona, li ma e kili sin. taso ona li tawa sewi, li tawa soweli Pita, li tawa e ilo ma lon luka, li kalama e ni: ""o pini, soweli ike pi kili mi o!"""
,"PETER was most dreadfully frightened; he rushed all over the garden, for he had forgotten the way back to the gate.",,"soweli Pita li pilin wawa ike a. ona li sona ala e nasin weka la, ona li tawa lon ale pi ma kasi."
,"He lost one of his shoes among the cabbages, and the other shoe amongst the potatoes.",,"len noka ona wan li kama weka lon kili lipu. len noka ona ante li kama weka lon kili pan."
,"AFTER losing them, he ran on four legs and went faster, so that I think he might have got away altogether if he had not unfortunately run into a gooseberry net, and got caught by the large buttons on his jacket. It was a blue jacket with brass buttons, quite new.",,"ni la, ona li tawa kepeken luka, kepeken noka. tawa ni li tawa wawa la, ona li ken weka - taso ona li tawa insa pi len kili. kiwen awen li lon len laso sijelo pi soweli Pita la, len li awen e kiwen jelo suno ni, li pini e weka pi soweli Pita."
,"PETER gave himself up for lost, and cried big tears; but his sobs were overheard by some friendly sparrows, who flew to him in great excitement, and implored him to exert himself.",,"soweli Pita li pilin ike tan moli kama, li pana e telo mute tan oko; taso waso li kute e kalama ona pi pilin ike. waso li tawa ona, li wile e pona tawa ona, li wile e tawa weka wawa tan ona."
,"MR. McGREGOR came up with a sieve, which he intended to pop upon the top of Peter; but Peter wriggled out just in time, leaving his jacket behind him.",,"jan mije Mekeke li kama, li jo e ilo poki len, li wile poki e soweli Pita kepeken ilo. taso soweli Pita li kama tawa, li kama weka lon tenpo sama. len laso ona li awen lon ma."
,"AND rushed into the tool-shed, and jumped into a can. It would have been a beautiful thing to hide in, if it had not had so much water in it.",,"ona li tawa tomo lili ilo, li tawa insa pi poki kiwen. telo ala li lon poki ni la, poki ni li pona, taso telo li lon."
