Translation,original,final,"jan Ke Tami"
Title,"THE TALE OF PIGLING BLAND",,
Author/copyright,"BEATRIX POTTER (public domain)",,
Link,https://en.wikisource.org/wiki/The_Tale_of_Pigling_Bland,,
"CW notes",,,
"Translation notes","This will be a block-by-block translation",,
"Text notes",,,
randomized,no,,
Predefine,"Aunt Pettitoes (pig)",,"soweli Seloje"
Predefine,"Cross-patch (pig)",,"soweli Wawalo"
Predefine,"Suck-suck (pig)",,"soweli Teloje"
Predefine,"Yock-yock (pig)",,"soweli Mokule"
Predefine,"Spot (pig)",,"soweli Tomonsi"
Predefine,"Alexander (pig)",,"soweli Mokuntu"
Predefine,"Pigling Bland (pig)",,"soweli Waloje"
Predefine,"Chin-Chin (pig)",,"soweli Siken"
Predefine,"Stumpy (pig)",,"soweli Monsin"
Predefine,"Mr. Peter Thomas Piperson (human)",,"jan Lanpante"
Predefine,"Pig-wig (pig)",,"soweli Pimejale"
"Text start","THE TALE OF PIGLING BLAND",,"soweli Waloje"
,"ONCE upon a time there was an old pig called Aunt Pettitoes. She had eight of a family; four little girl pigs, called Cross-patch, Suck-suck, Yock-yock and Spot;",,"tenpo wan la, soweli pi loje walo li lon. ona li soweli Seloje, li lon tenpo mute. ona li mama e soweli luka tu wan. soweli lili meli li soweli Wawalo, li soweli Teloje, li soweli Mokule, li soweli Tomonsi;"
," and four little boy pigs, called Alexander, Pigling Bland, Chin-Chin and Stumpy. Stumpy had had an accident to his tail.",,"soweli lili mije li soweli Mokuntu, li soweli Waloje, li soweli Siken, li soweli Monsin. tenpo pini la, pakala li kama lon palisa lili monsi pi soweli Monsin."
