Translation,original,final,"jan Ke Tami"
Title,"The Tale of ⁠Tom Kitten",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Tom_Kitten,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Mittens (cat)",,"soweli Suwile"
Predefine,"Tom Kitten (cat)",,"soweli Nija"
Predefine,"Moppet (cat)",,"soweli Puwan"
Predefine,"Mrs. Tabitha Twitchit (cat)",,"soweli Mamako"
Predefine,"Sally Henny Penny (hen)",,"waso Meliweli"
Predefine,"Rebeccah Puddle-Duck (bird)",,"waso Jalanpa"
Predefine,"Jemima Puddle-Duck (bird)",,"waso Jonken"
Predefine,"Mr. Drake Puddle-Duck (bird)",,"waso Lenpan"
"Text start","The Tale of ⁠Tom Kitten",,"soweli Nija"
,"ONCE upon a time there were three little kittens, and their names were Mittens, Tom Kitten, and Moppet.",,"tenpo wan la, soweli sin tu wan li lon. ona li soweli alasa, li soweli pi kalama noka ala, li soweli tomo suwi. ona tu wan li soweli Suwile, li soweli Nija, li soweli Puwan."
,"They had dear little fur coats of their own; and they tumbled about the doorstep and played in the dust.",,"linja sijelo ona li sama len awen. ona li tawa mute lon poka pi lupa tomo, li musi mute lon ma jaki ko."
,"BUT one day their mother–Mrs. Tabitha Twitchit–expected friends to tea; so she fetched the kittens indoors, to wash and dress them, before the fine company arrived.",,"taso tenpo suno wan la soweli mama ona Mamako li wile e soweli pona lon tomo, li wile moku e telo seli pona lon poka pi soweli pona; ni la ona li kama jo e soweli lili, li tawa e ona lon insa tomo, li wile telo e sijelo ona, li wile len pona e ona tan kama pi soweli pona."
,"FIRST she scrubbed their faces, (this one is Moppet).",,"nanpa wan la, mama li telo pona e sinpin pi soweli lili. (soweli Puwan li lon sitelen ni.)"
,"THEN she brushed their fur, (this one is Mittens).",,"nanpa tu la, mama li nasin pona e linja sijelo pi soweli lili. (soweli Suwile li lon sitelen ni.)"
,"THEN she combed their tails and whiskers, (this is Tom Kitten).",,"nanpa tu wan la, mama li nasin pona e linja suli sinpin pi soweli lili. (soweli Nija li lon sitelen ni.)"
,"Tom was very naughty, and he scratched.",,"soweli Nija li ike wile, li luka utala."
