Translation,original,final,"jan Ke Tami"
Title,"THE ROLY-POLY PUDDING",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Roly-Poly_Pudding,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Mrs. Tabitha Twitchit (cat)",,"soweli Mamako"
Predefine,"Moppet (cat)",,"soweli Puwan"
Predefine,"Mittens (cat)",,"soweli Suwile"
Predefine,"Tom Kitten (cat)",,"soweli Nija"
Predefine,"Mrs. Ribby (cat)",,"soweli Lenja"
Predefine,"John Joiner (dog)",,"soweli Pela"
Predefine,"Anna Maria (rat)",,"soweli Utawa"
Predefine,"Samuel Whiskers (rat)",,"soweli Utaki"
Predefine,"Farmer Potatoes (human)",,"jan Pokili"
"Text start","THE ROLY-POLY PUDDING",,"pan suwi sike palisa"
,"Once upon a time there was an old cat, called Mrs. Tabitha Twitchit, who was an anxious parent. She used to lose her kittens continually, and whenever they were lost they were always in mischief!",,"tenpo wan la, soweli li lon, li mute pi awen tenpo, li soweli Mamako. li soweli alasa, li soweli pi kalama noka ala, li soweli tomo. ona li mama kin, li pilin mute e pali mama. soweli lili ona li awen kama weka. soweli lili li weka sin la, ona li pali e nasa ike lon tenpo sin a!"
,"On baking day she determined to shut them up in a cupboard.",,"tenpo suno wan la, soweli Mamako li nasin e ni: ona li wile awen e soweli lili lon insa pi supa poki."
,"She caught Moppet and Mittens, but she could not find Tom.",,"ona li kama jo e soweli Puwan e soweli Suwile, taso ona li awen alasa e soweli Nija."
,"Mrs. Tabitha went up and down all over the house, mewing for Tom Kitten. She looked in the pantry under the staircase, and she searched the best spare bedroom that was all covered up with dust sheets. She went right upstairs and looked into the attics, but she could not find him anywhere.",,"soweli Mamako li tawa sewi tomo, li tawa anpa tomo, li tawa ale tomo, li mu e nimi pi soweli Nija. ona li lukin e insa pi poki awen moku lon anpa pi nasin sewi anpa, li lukin e tomo lape pi jan tawa. tomo ni li ken pona tawa jan kama pi tomo ante. len li awen e supa ale tan jaki. ona li tawa sewi tomo, li lukin lon anpa pi selo tomo sewi, taso soweli Nija li lon ala ni kin."
,"It was an old, old house, full of cupboards and passages. Some of the walls were four feet thick, and there used to be queer noises inside them, as if there might be a little secret staircase. Certainly there were odd little jagged doorways in the wainscot, and things disappeared at night—especially cheese and bacon.",,"tomo li tomo pi tenpo mute mute, li jo e supa poki mute, e nasin mute. insa sinpin li wawa suli sama suli jan. kalama nasa li tan insa sinpin la, ni li ken sama nasin lili lon insa sinpin. lon la, lupa lili li lon noka sinpin mute. lon la, ijo—en ko moku kin—li kama weka lon tenpo pimeja."
,"Mrs. Tabitha became more and more distracted, and mewed dreadfully.",,"nasin pali pi soweli Mamako li kama nasa, li kama nasa. soweli li mu ike."
," While their mother was searching the house, Moppet and Mittens had got into mischief.",,"mama soweli li lon ale tomo la, soweli Puwan en soweli Suwile li kama pali e nasa."
,"The cupboard door was not locked, so they pushed it open and came out.",,"lupa pi supa poki li pini awen ala la, soweli li open e lupa, li kama tan supa poki."
," They went straight to the dough which was set to rise in a pan before the fire.",,"lili la, ona li tawa ko pan. ko li kama suli lon insa pi poki moku supa lon poka seli."
,"They patted it with their little soft paws—""Shall we make dear little muffins?"" said Mittens to Moppet.",,"ona li noka suwi lili e ko—soweli Suwile li toki tawa soweli Puwan: ""mi wile ala wile pali e pan suwi lili?"""
," But just at that moment somebody knocked at the front door, and Moppet jumped into the flour barrel in a fright.",,"taso tenpo pi ni sama la, luka li kalama e sinpin lupa. ni la, soweli Puwan li kama tawa insa poki lon insa pi ko walo tan wawa pilin."
," Mittens ran away to the dairy, and hid in an empty jar on the stone shelf where the milk pans stand.",,"soweli Suwile li tawa tomo pi awen telo, li len e sijelo ona lon insa poki pi jo ala. supa poki sama la, poki pali pi telo walo mama li lon."
,"The visitor was a neighbor, Mrs. Ribby; she had called to borrow some yeast.",,"kama li soweli pi tomo poka, li soweli Lenja; ona li wile kama jo e ko nasa pi pali moku tan soweli Mamako."
,"Mr. Tabitha came downstairs mewing dreadfully—""Come in, Cousin Ribby, come in, and sit ye down! I'm in sad trouble, Cousin Ribby,"" said Tabitha, shedding tears. ""I've lost my dear son Thomas; I'm afraid the rats have got him."" She wiped her eyes with her apron.",,"soweli Mamako li kama tawa anpa tomo, li mu ike—""o kama, soweli Lenja pi kulupu sama o. a, o kama, o lape e monsi! ike la, kama ike li lon mi, soweli Lenja o."" ona li pana e telo tan lukin. ""soweli lili mi Nija li kama weka tan mi; pilin ike mi la, soweli pi lili mute ala li jo e ona."" ona li len luka weka e telo lon lukin."
,"He's a bad kitten, Cousin Tabitha; he made a cat's cradle of my best bonnet last time I came to tea. Where have you looked for him?",,"""ona li soweli lili ike, soweli sama Mamako o; mi kama tawa tenpo sina pi telo kasi seli la, ona li musi kepeken linja tan len lawa mi a. sina alasa e ona lon seme?"""
,"All over the house! The rats are too many for me. What a thing it is to have an unruly family! said Mrs. Tabitha Twitchit.",,"soweli Mamako li toki: ""lon ale tomo a! soweli pi lili ala li mute ike tawa mi. a, kulupu mi li nasa la, ni li wawa ike tawa mi!"""
," ""I'm not afraid of rats; I will help you to find him; and whip him too! What is all that soot in the fender?""",,"""soweli pi lili ala li ken ala nasa e pilin wawa mi; mi ken alasa e soweli lili sina lon poka sina; mi ken utala kin e ona sama sina tan ike ona! a, ko pimeja ni li seme lon sinpin pi poki seli?"""
," ""The chimney wants sweeping—Oh, dear me, Cousin Ribby—now Moppet and Mittens are gone!",,"""lupa sewi li wile e weka jaki—a, pakala, soweli Lenja o—soweli Puwan en soweli Suwile li weka kin!"
,"They have both got out of the cupboard!",,"ona tu li kama tan supa poki!"""
,"Ribby and Tabitha set to work to search the house thoroughly again. They poked under the beds with Ribby's umbrella and they rummaged in cupboards. They even fetched a candle and looked inside a clothes chest in one of the attics. They could not find anything, but once they heard a door bang and somebody scuttered downstairs.",,"soweli Lenja en soweli Mamako li open e alasa wawa sin lon ale tomo. ona li lukin e anpa pi supa lape kepeken ilo awen pi soweli Lenja, li luka e ijo mute lon insa pi supa poki mute. ona li kama kin e palisa seli suno, li lukin lon insa pi poki len lon anpa pi selo tomo sewi. ona li kama ala pini pona e alasa, taso tenpo wan la, kalama wawa li pini e lupa lon weka. tenpo sama la, kalama noka li anpa lon nasin pi tawa anpa."
,"Yes, it is infested with rats, said Tabitha tearfully. ""I caught seven young ones out of one hole in the back kitchen, and we had them for dinner last Saturday. And once I saw the old father rat—an enormous old rat—Cousin Ribby. I was just going to jump upon him, when he showed his yellow teeth at me and whisked down the hole.",,"soweli Mamako li toki pi pilin ike: ""ike lon la, soweli pi lili ala li mute jaki lon tomo ni. alasa la, mi kama jo e ona luka tu pi lili tenpo tan lupa sinpin lon monsi pi tomo moku. mi en soweli lili mi li kama moku e ona lon tenpo pi esun ala. tenpo wan la, mi kama lukin e mama mije ona—soweli Lenja o, ona li sike suli a. mi wile kama noka wawa e ona la, ona li kama e kiwen uta tawa mi, li tawa weka lon lupa ona."""
,"The rats get upon my nerves, Cousin Ribby, said Tabitha.",,"ona li awen toki: ""soweli jaki ni pi lili ala li nasa e lawa mi, soweli Lenja o."""
