Translation,original,final,"jan Ke Tami"
Title,"The Tale of mrs. Tittlemouse",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Mrs._Tittlemouse,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Mrs. Tittlemouse (mouse)",,"soweli Melili"
Predefine,"Mother Ladybird (bug)",,"pipi Seloje"
Predefine,"Miss Muffet",,"meli Epipiku"
Predefine,"Babbitty Bumble (bumble bee)",,"pipi Monsike"
Predefine,"Mr. Jackson (frog)",,"akesi Wekala"
"Text start","The Tale of mrs. Tittlemouse",,"soweli Melili pi lili mute"
,"ONCE upon a time there was a wood-mouse, and her name was Mrs. Tittlemouse.",,"tenpo wan la soweli pi lili mute li lon, li lon ma pi kasi suli. kute sike tu li lon lawa ona. nimi ona li Melili."
,"She lived in a bank under a hedge.",,"tomo ona li lupa lon noka pi kasi kiwen anpa."
,"SUCH a funny house! There were yards and yards of sandy passages, leading to storerooms and nut-cellars and seed-cellars, all amongst the roots of the hedge.",,"tomo li musi suwi a! ko ma la, lupa li tawa insa, li tawa, li tawa, li ken tawa tomo pi awen kili, li ken tawa tomo pi awen pan lon noka kasi kiwen."
,"THERE was a kitchen, a parlor, a pantry, and a larder.",,"tomo pi pali moku en tomo moku en tomo mute pi awen moku li lon kin."
,"Also, there was Mrs. Tittlemouse's bedroom, where she slept in a little box bed!",,"kin la, tomo lape pi soweli Melili lo lon. supa lape ona li poki lili a!"
,"MRS. TITTLEMOUSE was a most terribly tidy particular little mouse, always sweeping and dusting the soft sandy floors.",,"soweli Melili li soweli pona nasin a, li wile weka e jakin tan tomo lon tenpo ale, li weka e ko ma e ko jaki lon ma supa lon tenpo ale."
,"Sometimes a beetle lost its way in the passages.",,"tenpo la, pipi li ken kama lon nasin pi tomo ona."
,"Shuh! shuh! little dirty feet! said Mrs. Tittlemouse, clattering her dustpan.",,"ona li kalama kepeken ilo pi weka jaki, li toki wawa: ""o weka, o weka, noka jaki o!"""
,"AND one day a little old woman ran up and down in a red spotty cloak.",,"tenpo suno wan la, pipi pi mute tenpo li kama, li jo e selo loje e sike pimeja lon loje."
,"Your house is on fire, Mother Ladybird! Fly away home to your children!",,"""pipi mama Seloje o, ken la tomo sina li kama pakala a! o tawa wawa, o awen e pipi lili sina!"""
,"ANOTHER day, a big fat spider came in to shelter from the rain.",,"tenpo suno wan ante la, pipi suli pi noka luka tu wan li kama, li wile ala e telo kama lon ona tan sewi."
,"Beg pardon, is this not Miss Muffet's?",,"""a, toki a, ni li tomo ala pi meli Epipiku anu seme?"""
,"Go away, you bold bad spider! Leaving ends of cobweb all over my nice clean house!",,"""o weka, pipi suli ike o! sina pana e linja len ko lon tomo mi a!"""
,"SHE bundled the spider out at a window.",,"soweli li wawa e tawa weka pipi, li kama weka e ona tan lupa lon sinpin."
,"He let himself down the hedge with a long thin bit of string.",,"pipi li kepeken linja ona, li kama anpa weka lon linja."
,"MRS. TITTLEMOUSE went on her way to a distant storeroom, to fetch cherry-stones and thistle-down seed for dinner.",,"soweli Melili li tawa sin, li wile tawa tomo weka pi awen moku, li wile e kiwen kili e pan pi kasi len walo tawa moku."
,"All along the passage she sniffed, and looked at the floor.",,"ona li lon nasin la, nena ona li pilin e kon. ona li lukin e ma anpa."
,"I smell a smell of honey; is it the cowslips outside, in the hedge? I am sure I can see the marks of little dirty feet.",,"""mi ken pilin e suwi sama ko tan pipi jelo pimeja; ni li tan kasi suwi kule lon poka tomo anu seme? pilin la, mi ken kute e noka lili jaki kin."
