﻿Translation,original,final,"jan Ke Tami","jan Pulepo"
Title,"CECILY PARSLEY'S NURSERY RHYMES",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/Cecily_Parsley%27s_Nursery_Rhymes,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Cecily Parsley (rabbit)","soweli Wekasi~~~~jan Ke Tami","soweli Wekasi","soweli Sesili Pasi"
Predefine,"Tom Tinker (human)","jan Supali~~~~jan Ke Tami","jan Supali","jan Ton Tinke"
"Text start","CECILY PARSLEY'S NURSERY RHYMES","TOKI MUSI PI SOWELI WEKASI~~~~jan Ke Tami","TOKI MUSI PI SOWELI WEKASI","toki musi tawa soweli Sesili Pasi"
,"CECILY PARSLEY lived in a pen,","soweli Wekasi li lon tomo soweli,~~~~jan Ke Tami","soweli Wekasi li lon tomo soweli,","soweli Sesili Pasi li lon tomo soweli,"
,"And brewed good ale for gentlemen;","li pali e telo nasa tawa jan suli;~~~~jan Pulepo",,"li pali e telo nasa tawa jan suli;"
,"GENTLEMEN came every day,","jan suli li kama lon tenpo suno ale,~~~~jan Ke Tami","jan suli li kama lon tenpo suno ale,","jan suli li tawa lon tenpo suno ale,"
,"Till Cecily Parsley ran away.","taso soweli Wekasi li tawa weka.~~~~jan Ke Tami","taso soweli Wekasi li tawa weka.","taso soweli Sesili Pasi li tawa ante."
,"GOOSEY, goosey, gander,","waso, waso, waso o,~~~~jan Ke Tami","waso, waso, waso o,","soweli, soweli meli o,"
,"Whither will you wander?","sina tawa ma seme a?~~~~jan Pulepo",,"sina tawa ma seme a?"
,"Upstairs and downstairs,","tawa ma sewi. tawa ma anpa.~~~~jan Ke Tami","tawa ma sewi. tawa ma anpa.","ma sewi en ma anpa, o,"
,"⁠And in my lady's chamber!","tawa tomo mi kin.~~~~jan Ke Tami","tawa tomo mi kin.","en lon tomo pi mi taso!"
,"THIS pig went to market;","soweli ni li tawa ma esun;~~~~jan Pulepo",,"soweli ni li tawa ma esun;"
,"⁠This pig stayed at home;","soweli ni li awen lon tomo ona;~~~~jan Pulepo",,"soweli ni li awen lon tomo ona;"
,"THIS pig had a bit of meat;","soweli ni li moku e moku soweli;~~~~jan Pulepo",,"soweli ni li moku e moku soweli;"
,"AND this pig had none;","soweli ni li jo e moku ala;~~~~jan Pulepo",,"soweli ni li jo e moku ala;"
,"THIS little pig cried","soweli ni li toki e ike ni:~~~~jan Ke Tami","soweli ni li toki e ike ni:","soweli ni li toki ike e ni:"
,"⁠Wee! wee! wee!","""mu! mu! mu!~~~~jan Ke Tami","""mu! mu! mu!","a! a! a!"
,"I can't find my way home.","mi sona ala e nasin tawa tomo mi!""~~~~jan Ke Tami","mi sona ala e nasin tawa tomo mi!""","mi ken ala alasa e tomo mi."
,"PUSSY-CAT sits by the fire;","soweli li awen lon seli;~~~~jan Pulepo",,"soweli li awen lon seli;"
,"⁠How should she be fair?","seme la, ona li ken pona tawa pilin?~~~~jan Ke Tami","seme la, ona li ken pona tawa pilin?","tan seme la ona li pona lukin?"
,"In walks the little dog,","soweli lili li tawa ni, li toki e ni:~~~~jan Pulepo",,"soweli lili li tawa ni, li toki e ni:"
,"⁠Says ""Pussy! are you there?""","""soweli o, sina lon ala lon?~~~~jan Ke Tami","""soweli o, sina lon ala lon?","""soweli Pusi, sina li lon ala lon?"""
,"HOW do you do, Mistress Pussy?","sina pilin seme, soweli o?~~~~jan Ke Tami","sina pilin seme, soweli o?","sina pilin seme, soweli Pusi, o?"
,"⁠Mistress Pussy, how do you do?""","soweli o, sina pilin seme?""~~~~jan Ke Tami","soweli o, sina pilin seme?""","soweli Pusi, o, sina pilin seme?"
,"I thank you kindly, little dog, ⁠I fare as well as you!","mi pona, soweli lili o. mi pona sama sina!~~~~jan Ke Tami","mi pona, soweli lili o. mi pona sama sina!","mi pona, soweli lili o, mi pilin sama sina!"
,"THREE blind mice, three blind mice,","SOWELI mute li lili mute, li ken ala lukin.~~~~jan Ke Tami","SOWELI mute li lili mute, li ken ala lukin.","soweli lili mute, soweli lili mute,"
,"⁠See how they run!","o lukin e tawa ona!~~~~jan Ke Tami","o lukin e tawa ona!","o lukin e ona!"
,"They all run after the farmer's wife,","ona ale li tawa jan soweli meli~~~~jan Pulepo",,"ona ale li tawa jan soweli meli"
,"And she cut off their tails with a carving knife,","jan li weka e palisa tan monsi ona kepeken ilo pi weka pali.~~~~jan Ke Tami","jan li weka e palisa tan monsi ona kepeken ilo pi weka pali.","jan li kipisi e linja ona tan ilo kipisi"
,"Did you ever see such a thing in your life","sina lukin ala lukin e soweli lili mute~~~~jan Pulepo",,"sina lukin ala lukin e soweli lili mute"
,"⁠As three blind mice!","lon tenpo ale sina!~~~~jan Pulepo",,"lon tenpo ale sina!"
,"BOW, wow, wow!","mu, mu mu!~~~~jan Pulepo",,"mu, mu mu!"
,"⁠Whose dog art thou?","soweli pi jan seme li sina?~~~~jan Pulepo",,"soweli pi jan seme li sina?"
,"I'm little Tom Tinker's dog, ⁠Bow, wow, wow!","""mi soweli pi jan Supali, mu mu mu!""~~~~jan Ke Tami","""mi soweli pi jan Supali, mu mu mu!""","mi soweli pi jan Ton Tinke, mu, mu, mu!"
,"WE have a little garden,","mi jo e ma kasi lili,~~~~jan Pulepo",,"mi jo e ma kasi lili,"
,"⁠A garden of our own,","ma ni li ma pi mi taso.~~~~jan Ke Tami","ma ni li ma pi mi taso.","ma kasa lili mi"
,"And every day we water there","tenpo suno ale la mi telo e ona~~~~jan Pulepo",,"tenpo suno ale la mi telo e ona"
,"⁠The seeds that we have sown.","e kasi kama pi pali mi.~~~~jan Pulepo",,"e kasi kama pi pali mi."
,"WE love our little garden,","mi olin e ma kasa lili mi,~~~~jan Pulepo",,"mi olin e ma kasa lili mi,"
,"⁠And tend it with such care,","li pali e ona kepeken olin mute,~~~~jan Pulepo",,"li pali e ona kepeken olin mute,"
,"You will not find a faded leaf","sina ken ala lukin e ijo kasi ike~~~~jan Ke Tami","sina ken ala lukin e ijo kasi ike","sina ken ala lukin e kasi ike"
,"⁠Or blighted blossom there.","anu kasi kule ike lon ma ni.~~~~jan Pulepo",,"anu kasi kule ike lon ma ni."
,"NINNY NANNY NETTICOAT,","ilo Sunoka pona a~~~~jan Ke Tami","ilo Sunoka pona a","ilo Nini Nani Netiko,"
,"In a white petticoat,","li jo e len suli walo noka,~~~~jan Ke Tami","li jo e len suli walo noka,","lon len noka walo,"
,"⁠With a red nose,—","li jo e nena loje,—~~~~jan Ke Tami","li jo e nena loje,—","lon nena loje,-"
,"The longer she stands,","ona li awen la,~~~~jan Pulepo",,"ona li awen la,"
,"⁠The shorter she grows.","ona li kama lili a.~~~~jan Pulepo",,"ona li kama lili a."
