Translation,original,final,"jan Ke Tami"
Title,"THE PIE AND THE PATTY-PAN",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Pie_and_the_Patty-Pan,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Ribby (cat)",,"soweli Lenja"
Predefine,"Duchess (dog)",,"soweli Lawawa"
Predefine,"Tabitha Twitchit (cat)",,"soweli Mamako"
Predefine,"Timothy Baker",,"jan Panu"
Predefine,"Mrs. Ribston",,"soweli Lenja"
Predefine,"Squintina (cat)",,"soweli Lokon"
Predefine,"Dr. Maggotty (bird)",,"waso Jamisikeke"
"Text start","THE PIE AND THE PATTY-PAN",,"pan en poki"
," ONCE upon a time there was a Pussy-cat called Ribby, who invited a little dog called Duchess, to tea.",,"tenpo wan la, soweli Lenja li lon, li soweli alasa, li soweli pi kalama noka ala. ona li wile kama e soweli pona ona Lawawa lon tenpo pi telo seli kasi. soweli Lawawa li soweli tomo pi mu wawa."
,"Come in good time, my dear Duchess (said Ribby's letter), ""and we will have something so very very nice. I am baking it in a pie-dish—a pie-dish with a pink rim. You never tasted anything so good! And you shall eat it all! I will eat muffins, my dear Duchess!"" wrote Ribby.",,"toki sitelen ni li tan soweli Lenja, li tawa soweli Lawawa: ""soweli Lawawa o. mi wile e sina lon poka mi lon tenpo pona. mi tu li ken jo e moku pona. mi wan li pali e ni lon poki pi pan suwi—lon poki ni pi selo sewi loje. a, sina kama moku e ni la, moku sina pi tenpo pini li pona sama ala! a, sina kama moku e ni! mi wan li kama moku e pan suwi lili taso, soweli pona Lawawa o!"""
,"Duchess read the letter and wrote answer:—""I will come with much pleasure at a quarter past four. But it is very strange. I was just going to invite you to come here, to supper, my dear Ribby, to eat something most delicious.",,"soweli Lawawa li kama lukin e toki ni la, ona li toki sitelen kin: ""mi wile a kama lon poka pi tenpo ilo nanpa tu tu. nasa musi la, mi kama wile kin e sina lon poka mi lon tenpo ni, tawa tenpo moku pona kama, soweli pona mi Lenja o."""
,"I will come very punctually, my dear Ribby, wrote Duchess; and then at the end she added—""I hope it isn't mouse?""",,"ona li awen sitelen: ""mi kama lon tenpo pi toki mi taso, pona Lenja o."" pini sitelen, ona li pana sin—""wile mi la, moku ni li soweli ala pi lili mute."""
,"And then she thought that did not look quite polite; so she scratched out ""isn't mouse"" and changed it to ""I hope it will be fine,"" and she gave her letter to the postman.",,"taso ni li toki pona ala tawa pilin ona la, ona li weka sitelen e ""soweli ala pi lili mute"", li ante e toki ni: ""wile mi la, moku ni li pona."" ona li pana e lipu pi sitelen ni tawa jan pi lipu tawa."
,"But she thought a great deal about Ribby's pie, and she read Ribby's letter over and over again.",,"taso pilin insa ona li awen lon moku pi soweli Lenja la, ona li awen lukin e sitelen pi soweli Lenja."
