Translation,original,final
Title,Pepper & Carrot Episode 13: The Pyjama Party,
Author/copyright,David Revoy,
Link,https://www.peppercarrot.com/en/article338/episode-13-the-pyjama-party,
CW notes,,
Translation notes,"This will be a line-by-line translation of the comic. Some of the episodes already have translations, but there's usually always something to improve. For the rest, the goal is to have all episodes translated at some point.",
Text notes,"Pepper&Carrot is a webcomic by David Revoy, ww.davidrevoy.com - it is published under a Creative Commons Attribution 4.0 licence",
randomized,no,
Predefine,title,nimi
Predefine,credits,mama
Predefine,episode,wan
Predefine,narrator,sitelen toki
Predefine,Pepper (person),jan Pepa
Predefine,Coriander (person),jan Kowijana
Predefine,Carrot (cat),soweli Kawa
Predefine,sound,kalama
Predefine,monster,
Predefine,Shichimi,jan Sisimi
Predefine,writing,sitelen
Text start,[Title] Episode 13: The Pyjama Party,
,[Pepper] Best ...,
,[Pepper] ... holidays ...,
,[Pepper] ... ever !,
,[Pepper] It's just so nice here!,
,[Pepper] Thanks for inviting us Coriander!,
,[Coriander] Thanks !,
,[Coriander] I hope you're not too intimidated by my staff.,
,[Sound] Dzzziii!!!,
,[Sound] Shkak!!!,
,[Sound] Klukf!,
,[Sound] Klaf!,
,[Sound] shwwwwwwiiing!,
,[Monster] WoooOoh!!!,
,[Monster] WoooOoh!!!,
,[Monster] WoOoh!!!,
,"[Pepper] No, don't worry, they're very welcoming, we feel right at home.",
,[Shichimi] I'm really impressed with the interior decoration...,
,[Shichimi] ... so refined and cosy at the same time!,
,[Pepper] That's true!,
,[Coriander] It's nice to remind me ...,
,[Coriander] ... sometimes I find it all so ...,
,"[Coriander] ... ""banal"" ?...",
,[Sound] bam!,
,"[Shichimi] I'd love to live in this kind of comfort,",
,[Shichimi] but ...,
,[Sound] Shiingz!!!,
,"[Shichimi] ... ""A-true-witch-of-Ah-must-not-live-in-that-fashion"" .",
,[Pepper] Ha ha !...,
,[Pepper] The weight of tradition...,
,[Pepper] It's like something my godmothers would say!,
,[Shichimi] Really ?,
,[Pepper & Shichimi] Tee-hee-hee!,
,"[Coriander] Come on girls, let's concentrate, we're almost at the end!",
,"[Pepper] Oh, it's alright ... !",
,"[Pepper] You have to admit, this quest is super easy...",
,[Pepper] ... and we haven't even started to...,
,[Sound] PHRoooOwwoww!!!,
,[Coriander] PEPPER!!!,
,[Shichimi] ?!!,
,[Sound] Shhshh,
,[Coriander] ...Oh no! It's too late! she... she's...,
,[Shichimi] Noooooo!!!,
,[Monster] MUAHHAHAHAHA!!!,
,[Shichimi] GRR!!!,
,[Coriander] YOU WILL PAY FOR THAT ! ...,
,[Sound] CRACK!!,
,[Sound] KLING!!,
,[Shichimi] Oh NO!,
,[Coriander] Not again !,
,[Pepper] CARROT!,
,[Pepper] Drop that ! Right now !,
,[Sound] PAF!!,
,[Sound] PLONK!!,
,[Sound] Pam,
,[Writing] Princess Coriander,
,"[Pepper] Come now, Don't pout!",
,[Pepper] I know you're only trying to defend me...,
,"[Pepper] ... but there's no need, we're only playing!",
,[Writing] Citadels & Phoenixes,
,[Writing] Citadels & Phoenixes,
,[Carrot] Grrrr,
,[Narrator] - FIN -,
,[Credits] 11/2015 - Art & Scenario: David Revoy Translation: Alex Gryson,
,"[Credits] Pepper&Carrot is entirely free(libre), open-source and sponsored thanks to the patronage of its readers. For this episode, thank you to the 602 Patrons:",
,[Credits] You too can become a patron of Pepper&Carrot for the next episode at,
,[Credits] https://www.patreon.com/davidrevoy,
,"[Credits] License : Creative Commons Attribution 4.0 Source : available at www.peppercarrot.com Software : this episode was 100% drawn with libre software Krita 2.9.9, Inkscape 0.91 on Linux Mint 17",
