Translation,original,final,"jan Ke Tami"
Title,"The Tale of Timmy Tiptoes",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Timmy_Tiptoes,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Timmy Tiptoes (squirrel)",,"soweli Nokama"
Predefine,"Goody (squirrel)",,"soweli Pono"
Predefine,"Silvertail (squirrel)",,"soweli Selinja"
Predefine,"Chippy Hackee (chipmunk)",,"soweli Jamisa"
Predefine,"Mrs. Chippy Hackee (chipmunk)",,"soweli Misaja"
"Text start","The Tale of Timmy Tiptoes",,"soweli Nokama"
,"ONCE upon a time there was a little fat comfortable grey squirrel, called Timmy Tiptoes. He had a nest thatched with leaves in the top of a tall tree; and he had a little squirrel wife called Goody.",,"tenpo wan la, soweli lili pi kasi suli li lon. ona li sike pona, li pilin pona lon nasin ona, li pimeja walo sama kiwen. ona li soweli Nokama. tomo ona li supa lon sewi pi kasi suli. sewi tomo la, lipu kasi li selo supa. soweli olin ona li soweli Pono."
,"TIMMY TIPTOES sat out, enjoying the breeze; he whisked his tail and chuckled—""Little wife Goody, the nuts are ripe; we must lay up a store for winter and spring."" Goody Tiptoes was busy pushing moss under the thatch—""The nest is so snug, we shall be sound asleep all winter."" ""Then we shall wake up all the thinner, when there is nothing to eat in spring-time,"" replied prudent Timothy.",,"soweli Nokama li lon kasi, li pilin pona lon tawa kon la, ona li tawa wawa e palisa linja lon monsi ona, li musi lili tan pilin pona ona—""olin Pono pona o, kili li pona lon tenpo ni; mi o pali e awen kili pi tenpo lete."" tenpo pi toki ni la, soweli Pono li pana e ko kasi awen tawa selo tomo sewi—""tomo li pona mute a la, mi ken lape lon ale pi tenpo lete suli."" soweli Nokama li toki e wile awen: ""ni la, sijelo mi li kama lili sama ala sike tan weka moku lon tenpo pi lape pini. moku li lon tenpo pi seli kama la, ike pi weka moku li lon ala."""
,"WHEN Timmy and Goody Tiptoes came to the nut thicket, they found other squirrels were there already.",,"soweli Nokama en soweli Pono li tawa ma pi mute kasi la, soweli ante kin pi kasi suli li lon."
,"Timmy took off his jacket and hung it on a twig; they worked away quietly by themselves.",,"soweli Nokama li kama jo ala e len ona, li pana e len lon palisa lili kasi; ona tu li tawa lon poka ala pi soweli ante."
,"EVERY day they made several journeys and picked quantities of nuts. They carried them away in bags, and stored them in several hollow stumps near the tree where they had built their nest.",,"tenpo ale la, ona li tawa sin lon tenpo mute, li kama jo e kili kiwen mute, li poki e kili, li awen e ona lon lupa anpa kasi lon poka pi kasi tomo ona."
,"WHEN these stumps were full, they began to empty the bags into a hole high up a tree, that had belonged to a wood-pecker; the nuts rattled down—down—down inside.",,"lupa anpa ale li ken ala jo e ijo ante la, ona li pana e kili tawa lupa kasi sewi. lupa ni li tomo tawa waso pi nena wawa; kili li tawa anpa—li tawa anpa—li tawa anpa lon insa."
,"How shall you ever get them out again? It is like a money-box! said Goody.",,"soweli Pono li toki: ""kili li ken kama weka tan ni kepeken nasin seme? ni li sama poki awen a!"""
,"I shall be much thinner before spring-time, my love, said Timmy Tiptoes, peeping into the hole.",,"soweli Nokama li lukin e lupa, li toki: ""a, olin mi o, tenpo pi seli kama li kama la, sijelo mi li kama lili."""
,"THEY did collect quantities—because they did not lose them! Squirrels who bury their nuts in the ground lose more than half, because they cannot remember the place.",,"ona li kama jo e mute kili a tan ni—kili li kama ala weka tan ona! soweli pi kasi suli li anpa e kili lon anpa ma la, kili li kama weka tan ona tan ni: soweli li awen ala sona e ma kili."
,"The most forgetful squirrel in the wood was called Silvertail. He began to dig, and he could not remember. And then he dug again and found some nuts that did not belong to him; and there was a fight. And other squirrels began to dig,—the whole wood was in commotion!",,"soweli wan li weka mute e sona ni. ona li soweli Selinja. ona li open e pali, li lupa e ma, taso ona li sona ala e ma pona. ni la ona li lupa sin e ma, li kama jo e kili pi soweli ante. ni li kama e utala. soweli ante li open e pali lupa lon ma la—utala li lon ale pi ma kasi."
,"UNFORTUNATELY, just at this time a flock of little birds flew by, from bush to bush, searching for green caterpillars and spiders. There were several sorts of little birds, twittering different songs.",,"ike la, tenpo ni la, kulupu pi waso lili li kama tan kon, li tawa kasi. ona li wile moku e pipi. waso pi ante mute li lon, li mu e kalama pi ante mute."
,"The first one sang—""Who's bin digging-up my nuts? Who's-been-digging-up my nuts?""",,"waso wan li mu—""mu, jan seme li jo e kili mi, mu? mu, jan seme li jo e kili mi, mu?"""
,"And another sang—""Little bita bread and-no-cheese! Little bit-a-bread an'-no-cheese!""",,"waso ante li mu—""mu, pan lili taso en ko moku ala, mu! mu, pan lili taso en ko moku ala, mu!"""
,"THE squirrels followed and listened. The first little bird flew into the bush where Timmy and Goody Tiptoes were quietly tying up their bags, and it sang—""Who's-bin digging-up my nuts? Who's been digging-up my-nuts?""",,"soweli mute li kama tawa waso, li kute e ona. waso nanpa wan li tawa kasi kiwen anpa. soweli Nokama en soweli Pono li lon kasi ni, li selo e poki ona. waso li mu—""mu, jan seme li jo e kili mi, mu? mu, jan seme li jo e kili mi, mu?"""
,"Timmy Tiptoes went on with his work without replying; indeed, the little bird did not expect an answer. It was only singing its natural song, and it meant nothing at all.",,"soweli Nokama li awen pali, li toki ala tawa waso. kin la, waso lili ni li wile ala e toki tan soweli. ona li toki ala, li mu taso tan nasin mu waso. mu ona li pana ala e toki e sona."
