Translation,original,final,"jan Ke Tami"
Title,"THE TALE OF JEMIMA PUDDLE-DUCK",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Jemima_Puddle-Duck,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Jemima Puddle-duck (bird)",,"waso Jonken"
Predefine,"Mrs. Rebeccah Puddle-duck (bird)",,"waso Jalanpa"
Predefine,"Kep (dog)",,"soweli Tenpona"
"Text start","THE TALE OF JEMIMA PUDDLE-DUCK",,"waso Jonken"
,"WHAT a funny sight it is to see a brood of ducklings with a hen!",,"a, sina lukin e waso lili mute lon waso mama ona la, ni li musi tawa lukin!"
,"—Listen to the story of Jemima Puddle-duck, who was annoyed because the farmer's wife would not let her hatch her own eggs.",,"—o kute e toki pi waso Jonken. ona li pilin pona ala tan ni: ona li ken ala mama pali e sike waso ona tan wile pi jan pali soweli ona, li ken mama awen taso e sike waso pi waso ante."
,"HER sister-in-law, Mrs. Rebeccah Puddle-duck, was perfectly willing to leave the hatching to some one else—""I have not the patience to sit on a nest for twenty-eight days; and no more have you, Jemima. You would let them go cold; you know you would!""",,"waso sama ona pi kulupu ante li waso Jalanpa. waso ante li mama awen e sike ona la, ni li pona lon tenpo ale—""mi wile ala awen lon supa mama lon tenpo mun wan a; waso Jonken o, sina pilin sama a. sike li kama lete tan weka sina; sina sona e ni!"""
,"I wish to hatch my own eggs; I will hatch them all by myself, quacked Jemima Puddle-duck.",,"waso Jonke li mu: ""mi wile mama e sike mi e sike pi waso ante ala; mi taso a li kama mama e ona."""
,"SHE tried to hide her eggs; but they were always found and carried off.",,"ona li len e sike ona; taso tenpo ale la, jan li kama lukin e sike, li weka e sike."
,"Jemima Puddle-duck became quite desperate. She determined to make a nest right away from the farm.",,"wile pi waso Jonken li kama wawa mute. ona li wile pali e supa mama lon weka tomo lon tenpo ni a."
,"SHE set off on a fine spring afternoon along the cart-road that leads over the hill.",,"tenpo suno pona wan li open la, ona li tawa lon poka nasin tawa nena."
,"She was wearing a shawl and a poke bonnet.",,"ona li jo e len lawa e len awen kin."
,"WHEN she reached the top of the hill, she saw a wood in the distance.",,"ona li kama lon sewi nena la, ona li lukin e ma pi kasi suli."
,"She thought that it looked a safe quiet spot.",,"lukin ona la, ni li ma pona, li ken ala ike e ona."
