﻿Translation,original,final,"jan Ke Tami"
Title,"The Tale of Ginger and Pickles",
Author/copyright,"BEATRIX POTTER (public domain)",
Link,https://en.wikisource.org/wiki/The_Tale_of_Ginger_and_Pickles,
"CW notes",,
"Translation notes","This will be a block-by-block translation",
"Text notes",,
randomized,no,
Predefine,"Lucinda (doll)",,"ijo Ipiki"
Predefine,"Jane (doll)",,"ijo Jante"
Predefine,"Ginger and Pickles (store)",,"esun Lejelo Kilipi"
Predefine,"Ginger (cat)",,"soweli Lojelo"
Predefine,"Pickles (dog)",,"soweli Kilipi"
Predefine,"Tabitha Twitchit (cat)",,"soweli Mamako"
Predefine,"Kep (dog)",,"soweli Tenpona"
Predefine,"Samuel Whiskers (rat)",,"soweli Utaki"
Predefine,"Anna Maria (human)",,"soweli Utawa"
Predefine,"Timothy Baker",,"jan Panu"
Predefine,"John Dormouse (mouse)",,"soweli Nimisa"
Predefine,"Sally Henny Penny (hen)",,"waso Meliweli"
"Text start","The Tale of Ginger and Pickles",,"soweli Lojelo en soweli Kilipi"
,"ONCE upon a time there was a village shop. The name over the window was ""Ginger and Pickles.""",,"tenpo wan la, esun li lon ma tomo. nimi li lon sewi lupa, li ""esun Lojelo Kilipi"""
,"It was a little small shop just the right size for Dolls—Lucinda and Jane Doll-cook always bought their groceries at Ginger and Pickles.",,"tomo esun li lili tawa jan, li suli pona tawa ijo musi suwi. ijo Ipiki en ijo Jante pi pali moku li sama jan tawa lukin, li esun lon esun Lojelo Kilipi lon tenpo ale."
,"The counter inside was a convenient height for rabbits. Ginger and Pickles sold red spotty pocket-handkerchiefs at a penny three farthings.",,"insa tomo la, supa esun li suli pona tawa soweli pi kute suli. soweli Lojelo en soweli Kilipi li esun e len pona loje pi weka jaki lon mani wan."
,"They also sold sugar, and snuff and galoshes.",,"suwi en ko nasa pi pilin nena en poki len noka pi weka telo li lon esun ona kin."
,"In fact, although it was such a small shop it sold nearly everything—except a few things that you want in a hurry—like bootlaces, hair-pins and mutton chops.",,"lon la, ni li esun lili, taso ona li esun e ijo pi sama ale—sina wile e linja len noka, e ilo lili awen pi linja lawa, e kiwen moku pi sijelo soweli lon tenpo lili la, ni li ken ala lon tenpo pi wile sina."
,"Ginger and Pickles were the people who kept the shop. Ginger was a yellow tom-cat, and Pickles was a terrier.",,"soweli Lojelo en soweli Kilipi li lawa e esun. soweli Lojelo li soweli pi kalama noka ala, li soweli alasa, li jelo loje. soweli Kilipi li soweli tomo pi mu wawa."
,"The rabbits were always a little bit afraid of Pickles.",,"soweli pu kute sili la, wawa pi soweli Kilipi li ike lili e pilin."
,"The shop was also patronized by mice—only the mice were rather afraid of Ginger.",,"soweli pi lili mute li jo e kute sike la, ona kin li tawa esun ni—taso soweli lili ni li pilin ike wawa tan soweli Lojelo."
,"Ginger usually requested Pickles to serve them, because he said it made his mouth water.",,"telo li kama lon uta pi soweli Lojelo tan soweli lili la, soweli Lojelo li wile e soweli Kilipi lon pali esun pi soweli lili."
,"I cannot bear, said he, ""to see them going out at the door carrying their little parcels.""",,"soweli Lojelo li toki: ""pilin pakala mi la, mi ken ala lukin e ona lon kama ona e esun lili ona."""
,"I have the same feeling about rats, replied Pickles, ""but it would never do to eat our own customers; they would leave us and go to Tabitha Twitchit's.""",,"soweli Kilipi li toki: ""mi pilin sama lon soweli pi lili ala. taso mi ken ala moku e jan esun mi. ona li kama weka tan ni, li kama tawa esun pi soweli Mamako."""
