Translation,original,final,"jan Sonatan","jan Kita"
Title,"Take Your Time",
Author/copyright,"Nicky Case",
Link,https://blog.ncase.me/take-your-time/,
"CW notes","swear words, death",
"Translation notes","This will be a sentence-by-sentence translation of the short story.",
"Text notes","This short story by Nicky Case is dedicated to the public domain through a CC0 licence",
randomized,no,
Predefine,"Professor Harrington (person)",,"jan sona Alinton","jan sona Ewinton"
Predefine,"Darren (person)",,"jan Talen","jan Telen"
Predefine,"Jenny (person)",,"jan Seni","jan Seni"
Predefine,"Take Your Time pill (drug)",,"o moku e misikeke tenpo sina","misikeke O Jo E Tenpo"
"Text start","[Title] Take Your Time",,,"O Jo E Tenpo"
,"I hate dystopian stories.",,,"lipu musi pi tenpo kama ike li ike tawa mi."
,"And yes, I've read them.",,,"lon la, mi lukin e ona."
,"All of them.",,,"e ale ona "
,"Why not? I have the time.",,,"tan ni: mi jo e tenpo."
,"God, I can't even remember when all of this started.",,,"pakala, mi sona ala e tenpo open pi ale ni."
,"But I remember where I was: work.",,,"taso mi sona e ni: mi lon tomo pali."
,"It was just another average day at the average department of Average Incorporated.",,,"tenpo suno meso li lon tomo meso pi kulupu esun meso."
,"Sometime after lunch, Darren -- god rest his soul -- Darren came into my cubicle, with the look of a nervous squirrel on his face, and told me:",,,"tenpo kama pi tenpo moku la, jan Telen -- sewi o pona tawa ona -- jan Telen li kama lon tomo ni, li jo e sinpin pi soweli monsuta, li toki e ni:"
,"""Jenny, you have to see this.""",,,"""jan Seni o, sina o lukin e ni."""
,"Our entire department was crowded around the TV in the lunch room.",,,"ale pi kulupu mi li lon tomo moku, li lukin e poki sitelen."
,"Hey, whatever's a good excuse to take a break from work, right? ",,,"a, ni li ken e pali ala la ona li pona, anu seme?"
,"There was a live press conference featuring Professor Harrington, a chubby, bearded scientist who kinda looked like Santa Claus -- and boy, did he ever have the gift for us.",,,
,"""Professor Harrington,"" a reporter asked, ""could you explain how you did this?""",,,"""jan sona Ewinton o,"" jan pi wile sona li toki, ""sina ken ala ken toki e ni: nasin seme sina pali e ni?"""
,"""How I invented the pill that will change humanity forever?""",,,"""nasin seme la mi pali e misikeke ni: ona li ante e jan ale lon tenpo ale?"""
,"""...Yeah. That.""",,,"""...a. ni."""
,"""Sure.",,,"""ken."
,"The TimeXpander Pill, name's a work in progress, gives a person 8 extra hours a day.",,,"misikeke Suli Tenpo, mi awen pali e nimi ona, li pana e tenpo suli luka tu wan namako lon tenpo suno."
,"Note: you only have to take this pill once, and the effect is permanent.",,,"o sona e ni: o moku e misikeke wan taso. pali ona li lon tenpo ale."
,"Now, the way it accomplishes this is quite simple.",,,"jan li ken sona e nasin pali ona kepeken sona lili."
,"To explain, thi--""",,,"sina wile sona la, on-"""
,Wait.,,,n.
,"I turned to Darren.",,,"mi lukin e jan Telen."
,"Did he just say it gives you 8 extra hours a day? Darren whispered a shut up jenny.",,,"ona li toki ala toki e ni: ona li pana e tenpo namako lon tenpo suno? jan Telen li toki e jan seni o toki ala."
,"""--once proved that time is relative.",,,"""--li kama sona e ni: tenpo li ante tawa jan ale."
,"To clarify, he was describing physics, but it describes neuropsychology, too.",,,"sona pona la, ona li toki e nasin ijo, taso ni li pona tawa nasin pi lawa jan kin."
,"We don't have to experience one second per second.",,,"mi ale li ken pilin ala e tenpo wan lon tenpo wan."
,"Our perception of time is dependent on neuron metabolism, synaptic firing rates, relative concentrations of GABA and PEA...",,,"pilin tenpo mi li ante tan nasin moku pi lili lawa, tan tenpo pali pi linja lawa insa, tan mute pi seli Kapa anu seli Peja..."
,"to make a long PhD short, TimeXpander speeds your brain up by 33%, letting you experience days that are 33% longer: eight extra hours.""",,,"toki lili la, misikeke Suli Tenpo li pana e wawa wan tawa lawa sina pi wawa tu wan, li ken e ni: sina pilin e tenpo suno pi tenpo namako. tenpo suli luka tu wan."""
,"The room went silent for a while.",,,"tomo li kalama ala."
,"""...Professor Harrington,"" the same reporter finally spoke, ""could you explain... why you did this?""",,,"""...jan sona Ewinton o,"" jan pi wile sona li toki sin, ""sina ken ala ken toki e ni:... tan seme la ni?"""
,"""You kept complaining.""",,,"""sina ale li toki ike."""
,"Dramatic pause.",,,"awen wawa."
,"""You people kept saying, oh i'd love to learn the piano but i don't have the time, or oh i wanna go on more dates but my schedule's too packed"", or blah blah blah i want to better myself as a person in some way, but woe is me, there just aren't enough hours in the day!""",,,"""sina ale li toki e ni: a mi wile kama sona kalama ilo taso mi jo ala e tenpo, anu ni: a mi wile lon toki olin mute taso lipu tenpo mi li jo ale, anu mu mu mu mi wile pona e mi kepeken nasin, taso ike a, tenpo lili taso li lon tenpo suno ni!"""
,"Ohhhhkay, goodbye professional scientist voice.",,,"nnnnn, kalama toki pi jan sona o weka pona."
,"""You know, hunter-gatherers only worked 3 hours a day? ",,,"""sina sona ala sona e ni: jan alasa pi tenpo pini li pali lon tenpo suli tu wan taso lon tenpo suno?"
,"You know, John Maynard Keynes once predicted we'd be working 15-hour weeks by now? ",,,"sina sona ala sona: jan Sa Mena Kin li toki e ni: tenpo pi mi mute la mi pali sama?"
,"And yet, humanity decided, hey let's all go get on this treadmill and run forever faster and faster while going absolutely nowhere.",,,"taso, jan ale li toki e, a mi o tawa lon nasin tawa ni o tawa wawa namako o namako lon tenpo ale o tawa ma ala."
,"So, you know what? Screw it.",,,"ni la? o pakala e ni."
,"Here's 8 extra hours.",,,"o jo e tenpo namako."
,"Use it to learn how to paint.",,,"ona la o kama sona sitelen."
,"To read a good book.",,,"o lukin e lipu pona."
,"To smooch some cuties.",,,"o uta e jan suwi."
,"To write short stories on your blog.",,,"o sitelen e toki musi lon linluwi."
,"To get in touch with nature, or God, or yourself, or whatever.",,,"o linja sin e sina e ma, anu jan sewi, anu e sina, anu seme."
,"Eight extra hours a day, every day.",,,"tenpo suli namako luka tu wan, lon tenpo ale "
,"Do whatever you want.""",,,"o pali e wile sina."""
,"I looked at Darren.",,,"mi lukin e jan Telen."
,"Darren looked at me.",,,"jan Telen li lukin e mi."
,"Eight extra hours, I thought.",,,"tenpo suli namako luka tu wan, mi toki insa."
,"Whatever you want...",,,"o pali e wile sina..."
,"The boss shut the TV off.",,,"jan lawa li pini e poki sitelen."
,"""Okay folks, that's quite enough.""",,,"""ni li mute pona, jan ale o."""
," He clapped his hands.",,,"ona li kalama luka."
,"""Now let's go optimize some spreadsheets!""",,,"""tenpo ni la o pona e lipu nanpa!"""
,"I made a TO DO list:",,,"mi pali e lipu pi ijo pali:"
,"learn to sing",,,"o kama sona kalama uta musi"
,"read the classics",,,"o lukin e lipu pona"
